site,transect,spcode,start,stop,note
CALICO,A6,JUNMON,0.3,2.9,
CALICO,A6,JUNMON,2.6,4.6,
CALICO,A6,PINEDU,3.8,6.7,
CALICO,A6,JUNMON,7.2,8.75,
CALICO,A6,YUCBAC,8.7,9.2,
CALICO,A6,(hedgehog),11.7,11.8,cylinder shape cactus with small dense spike
CALICO,A6,PINEDU,24.6,26.5,
CALICO,A6,PINEDU,25.4,27,
CALICO,A6,PINEDU,26.7,28.3,
CALICO,A6,PINEDU,28.6,29.1,
CALICO,A6,JUNMON,28.9,30.6,
CALICO,A6,PINEDU,31.6,34.6,
CALICO,A6,JUNMON,36.4,37.9,
CALICO,A6,JUNMON,42.65,42.9,
CALICO,A6,JUNMON,44,44.8,
CALICO,A6,JUNMON,45,46.8,
CALICO,A6,JUNMON,46.45,47.5,
CALICO,A6,QUEGAM,49,50,
BAILEY,A7,ABICON,0,0.9,
BAILEY,A7,ABICON,1.9,2.5,
BAILEY,A7,PSEMEN,2.4,2.75,
BAILEY,A7,ABICON,3.8,4.7,
BAILEY,A7,ABICON,5.15,5.45,
BAILEY,A7,QUEGAM,3.3,7.9,
BAILEY,A7,ABICON,5.2,6.7,
BAILEY,A7,ABICON,7.3,7.75,
BAILEY,A7,ABICON,7.6,9.3,
BAILEY,A7,ABICON,8.2,10,
BAILEY,A7,PSEMEN,11.7,15.2,
BAILEY,A7,QUEGAM,12.1,12.9,
BAILEY,A7,QUEGAM,13.1,13.2,
BAILEY,A7,QUEGAM,13.6,13.65,
BAILEY,A7,QUEGAM,15.7,15.9,
BAILEY,A7,PSEMEN,15.9,16.2,
BAILEY,A7,QUEGAM,17.5,23,
BAILEY,A7,QUEGAM,22.8,22.9,
BAILEY,A7,QUEGAM,22.9,24.9,
BAILEY,A7,QUEGAM,23.5,24.4,
BAILEY,A7,ABICON,24.9,25.5,
BAILEY,A7,HOLDIS,31.1,33.2,
BAILEY,A7,ABICON,31.5,37.6,
BAILEY,A7,QUEGAM,35.8,36.4,
BAILEY,A7,QUEGAM,36.6,37.8,
BAILEY,A7,QUEGAM,38.8,39.3,
BAILEY,A7,QUEGAM,39.4,39.5,
BAILEY,A7,QUEGAM,39.8,40,
BAILEY,A7,QUEGAM,40.9,42.2,
BAILEY,A7,QUEGAM,41,41.2,
BAILEY,A7,QUEGAM,41.3,41.5,
BAILEY,A7,QUEGAM,41.5,41.6,
BAILEY,A7,(ribes1),41.7,41.8,
BAILEY,A7,QUEGAM,44.6,45.4,
BAILEY,A7,PRUSER,45.4,45.9,
BAILEY,A7,QUEGAM,47.6,47.8,
SLEEPY,A8,PSEMEN,0,0.7,
SLEEPY,A8,PSEMEN,10.8,14.2,
SLEEPY,A8,PSEMEN,15.4,19.1,
SLEEPY,A8,HOLDIS,18.1,19,
SLEEPY,A8,HOLDIS,20,20.5,
SLEEPY,A8,PSEMEN,22.4,27.5,
SLEEPY,A8,HOLDIS,24.9,25.2,
SLEEPY,A8,ABICON,38.3,39.1,
SLEEPY,A8,HOLDIS,38.4,38.7,
SLEEPY,A8,HOLDIS,41.6,41.9,
SLEEPY,A8,HOLDIS,42.2,42.3,
SLEEPY,A8,ROBNEO,48.4,48.7,
SLEEPY,A8,ROBNEO,48.85,49.1,
SLEEPY,A8,ROBNEO,49.15,49.4,
SLEEPY,A9,HOLDIS,1.05,1.65,
SLEEPY,A9,ROBNEO,1.4,1.6,
SLEEPY,A9,HOLDIS,3.5,3.9,
SLEEPY,A9,PSEMEN,3.1,10.1,
SLEEPY,A9,QUEGAM,5.5,6.8,
SLEEPY,A9,ROBNEO,7.4,8.2,
SLEEPY,A9,PSEMEN,14.1,15.3,
SLEEPY,A9,ROBNEO,16.6,17.1,
SLEEPY,A9,HOLDIS,19.5,20.7,
SLEEPY,A9,ABICON,20,21.9,
SLEEPY,A9,ABICON,20.6,22.6,
SLEEPY,A9,ABICON,22.5,24,
SLEEPY,A9,ABICON,24.3,24.6,
SLEEPY,A9,ABICON,24.8,25.45,
SLEEPY,A9,ABICON,26,26.75,
SLEEPY,A9,ABICON,26.8,27.9,
SLEEPY,A9,ABICON,27.6,29,
SLEEPY,A9,ABICON,29.2,30.2,
SLEEPY,A9,ABICON,29.8,30.5,
SLEEPY,A9,ABICON,30.4,30.85,
SLEEPY,A9,ABICON,30.6,31.7,
SLEEPY,A9,ABICON,31.2,31.9,
SLEEPY,A9,ABICON,31.25,32.15,
SLEEPY,A9,ABICON,31.7,32.3,
SLEEPY,A9,ABICON,31.9,33.2,
SLEEPY,A9,ABICON,32.6,33.9,
SLEEPY,A9,ABICON,33,33.6,
SLEEPY,A9,ABICON,33,33.2,
SLEEPY,A9,ABICON,33.5,34.5,
SLEEPY,A9,ABICON,33.9,34.25,
SLEEPY,A9,ABICON,34.4,35.3,
SLEEPY,A9,ABICON,34.6,35.95,
SLEEPY,A9,ABICON,34.9,36.4,
SLEEPY,A9,ABICON,35.7,36.8,
SLEEPY,A9,ABICON,35.9,37.1,
SLEEPY,A9,ROBNEO,37.5,37.6,
SLEEPY,A9,ROBNEO,39.5,39.55,
SLEEPY,A9,PSEMEN,39.9,41.1,
SLEEPY,A9,PSEMEN,41.3,43,
SLEEPY,A9,ABICON,41.5,42.15,
SLEEPY,A9,PSEMEN,41.5,44,
SLEEPY,A9,PINSTR,41.9,42.8,
SLEEPY,A9,PSEMEN,42.6,43.9,
SLEEPY,A9,ABICON,43.45,44.8,
SLEEPY,A9,ABICON,44.2,45.2,
SLEEPY,A9,ABICON,45.5,46.7,
SLEEPY,A9,PSEMEN,45.7,47.4,
SLEEPY,A9,ABICON,46.4,48.1,
SLEEPY,A9,ABICON,48,48.9,
SLEEPY,A9,ROBNEO,48.1,48.9,
